cell_id,demand,visit_count,trajectory_count,entry_count
R004C030,0.0,0,0,0
R004C031,0.0,0,0,0
R004C032,0.0,0,0,0
R004C033,0.0,0,0,0
R004C034,0.0,0,0,0
R004C035,0.0,0,0,0
R004C036,0.0,0,0,0
R004C037,0.0,0,0,0
R004C038,0.0,0,0,0
R004C039,0.36074839995759184,2,2,2
R004C040,0.6553524386411768,12,2,4
R004C041,0.18690161589713872,1,1,1
R004C042,0.30374236031872154,4,1,2
R004C043,0.2815491476650243,4,1,1
R004C044,0.5080504192993842,7,2,3
R004C045,0.4205831047403044,7,1,3
R004C046,0.4107919226328298,4,2,2
R004C047,0.0,0,0,0
R004C048,0.0,0,0,0
R004C049,0.18690161589713872,1,1,1
R004C050,0.0,0,0,0
R005C000,0.0,0,0,0
R005C001,0.0,0,0,0
R005C002,0.0,0,0,0
R005C003,0.0,0,0,0
R005C004,0.0,0,0,0
R005C005,0.0,0,0,0
R005C006,0.0,0,0,0
R005C007,0.0,0,0,0
R005C008,0.0,0,0,0
R005C009,0.0,0,0,0
R005C010,0.0,0,0,0
R005C011,0.0,0,0,0
R005C012,0.0,0,0,0
R005C013,0.0,0,0,0
R005C014,0.0,0,0,0
R005C015,0.0,0,0,0
R005C016,0.0,0,0,0
R005C017,0.0,0,0,0
R005C018,0.0,0,0,0
R005C019,0.0,0,0,0
R005C020,0.0,0,0,0
R005C021,0.0,0,0,0
R005C022,0.0,0,0,0
R005C023,0.0,0,0,0
R005C024,0.0,0,0,0
R005C025,0.0,0,0,0
R005C026,0.0,0,0,0
R005C027,0.0,0,0,0
R005C028,0.0,0,0,0
R005C029,0.0,0,0,0
R005C030,0.0,0,0,0
R005C031,0.0,0,0,0
R005C032,0.0,0,0,0
R005C033,0.0,0,0,0
R005C034,0.0,0,0,0
R005C035,0.0,0,0,0
R005C036,0.0,0,0,0
R005C037,0.0,0,0,0
R005C038,0.0,0,0,0
R005C039,0.0,0,0,0
R005C040,0.21845079315310056,2,1,1
R005C041,0.30374236031872154,4,1,2
R005C042,0.18690161589713872,1,1,1
R005C043,0.0,0,0,0
R005C044,0.4205831047403044,7,1,3
R005C045,0.6024803672820167,9,2,5
R005C046,0.7173629480953938,15,1,5
R005C047,0.39838989208660724,7,1,2
R005C048,0.4299390693425691,8,1,2
R005C049,0.18690161589713872,1,1,1
R005C050,0.0,0,0,0
R006C000,0.0,0,0,0
R006C001,0.0,0,0,0
R006C002,0.0,0,0,0
R006C003,0.0,0,0,0
R006C004,0.0,0,0,0
R006C005,0.0,0,0,0
R006C006,0.0,0,0,0
R006C007,0.0,0,0,0
R006C008,0.0,0,0,0
R006C009,0.0,0,0,0
R006C010,0.0,0,0,0
R006C011,0.0,0,0,0
R006C012,0.0,0,0,0
R006C013,0.0,0,0,0
R006C014,0.0,0,0,0
R006C015,0.0,0,0,0
R006C016,0.0,0,0,0
R006C017,0.0,0,0,0
R006C018,0.0,0,0,0
R006C019,0.0,0,0,0
R006C020,0.0,0,0,0
R006C021,0.0,0,0,0
R006C022,0.0,0,0,0
R006C023,0.0,0,0,0
R006C024,0.0,0,0,0
R006C025,0.0,0,0,0
R006C026,0.0,0,0,0
R006C027,0.0,0,0,0
R006C028,0.0,0,0,0
R006C029,0.0,0,0,0
R006C030,0.0,0,0,0
R006C031,0.0,0,0,0
R006C032,0.0,0,0,0
R006C033,0.0,0,0,0
R006C034,0.0,0,0,0
R006C035,0.0,0,0,0
R006C036,0.0,0,0,0
R006C037,0.0,0,0,0
R006C038,0.0,0,0,0
R006C039,0.0,0,0,0
R006C040,0.0,0,0,0
R006C041,0.18690161589713872,1,1,1
R006C042,0.30374236031872154,4,1,2
R006C043,0.27219318306275964,3,1,2
R006C044,0.30374236031872154,4,1,2
R006C045,0.45213228199626626,8,1,3
R006C046,0.6320713809297729,13,1,4
R006C047,0.5058746719059254,9,1,4
R006C048,0.5058746719059254,9,1,4
R006C049,0.5689730264178491,11,1,4
R006C050,0.600522203673811,12,1,4
R007C000,0.0,0,0,0
R007C001,0.0,0,0,0
R007C002,0.0,0,0,0
R007C003,0.0,0,0,0
